[2018-04-17 17:17:54,266: WARNING/MainProcess] /usr/lib/python2.7/site-packages/celery/apps/worker.py:161: CDeprecationWarning: 
Starting from version 3.2 Celery will refuse to accept pickle by default.

The pickle serializer is a security concern as it may give attackers
the ability to execute any command.  It's important to secure
your broker from unauthorized access when using pickle, so we think
that enabling pickle should require a deliberate action and not be
the default choice.

If you depend on pickle then you should set a setting to disable this
warning and to be sure that everything will continue working
when you upgrade to Celery 3.2::

    CELERY_ACCEPT_CONTENT = ['pickle', 'json', 'msgpack', 'yaml']

You must only enable the serializers that you will actually use.


  warnings.warn(CDeprecationWarning(W_PICKLE_DEPRECATED))
[2018-04-17 17:17:55,368: WARNING/MainProcess] /usr/lib/python2.7/site-packages/djcelery/loaders.py:133: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warn('Using settings.DEBUG leads to a memory leak, never '
[2018-04-17 17:17:55,369: WARNING/MainProcess] /usr/lib/python2.7/site-packages/celery/fixups/django.py:265: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
[2018-04-17 17:17:55,369: WARNING/MainProcess] celery@bogon ready.
[2018-04-17 17:17:56,707: WARNING/MainProcess] Exception
[2018-04-17 17:17:56,707: WARNING/MainProcess] KeyError
[2018-04-17 17:17:56,707: WARNING/MainProcess] :
[2018-04-17 17:17:56,707: WARNING/MainProcess] KeyError(140646120990528,)
[2018-04-17 17:17:56,708: WARNING/MainProcess] in
[2018-04-17 17:17:56,708: WARNING/MainProcess] <module 'threading' from '/usr/lib64/python2.7/threading.pyc'>
[2018-04-17 17:17:56,708: WARNING/MainProcess] ignored
[2018-04-17 17:17:59,459: WARNING/MainProcess] /usr/lib/python2.7/site-packages/celery/apps/worker.py:161: CDeprecationWarning: 
Starting from version 3.2 Celery will refuse to accept pickle by default.

The pickle serializer is a security concern as it may give attackers
the ability to execute any command.  It's important to secure
your broker from unauthorized access when using pickle, so we think
that enabling pickle should require a deliberate action and not be
the default choice.

If you depend on pickle then you should set a setting to disable this
warning and to be sure that everything will continue working
when you upgrade to Celery 3.2::

    CELERY_ACCEPT_CONTENT = ['pickle', 'json', 'msgpack', 'yaml']

You must only enable the serializers that you will actually use.


  warnings.warn(CDeprecationWarning(W_PICKLE_DEPRECATED))
[2018-04-17 17:18:00,557: WARNING/MainProcess] /usr/lib/python2.7/site-packages/djcelery/loaders.py:133: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warn('Using settings.DEBUG leads to a memory leak, never '
[2018-04-17 17:18:00,557: WARNING/MainProcess] /usr/lib/python2.7/site-packages/celery/fixups/django.py:265: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
[2018-04-17 17:18:00,558: WARNING/MainProcess] celery@bogon ready.
[2018-04-17 17:18:21,034: DEBUG/Worker-2] (0.000) SELECT `celery_taskmeta`.`id`, `celery_taskmeta`.`task_id`, `celery_taskmeta`.`status`, `celery_taskmeta`.`result`, `celery_taskmeta`.`date_done`, `celery_taskmeta`.`traceback`, `celery_taskmeta`.`hidden`, `celery_taskmeta`.`meta` FROM `celery_taskmeta` WHERE `celery_taskmeta`.`task_id` = '84dbb2e2-0b1c-4606-9014-8fa1c6ab3a78'; args=('84dbb2e2-0b1c-4606-9014-8fa1c6ab3a78',)
[2018-04-17 17:18:21,036: DEBUG/Worker-2] (0.000) INSERT INTO `celery_taskmeta` (`task_id`, `status`, `result`, `date_done`, `traceback`, `hidden`, `meta`) VALUES ('84dbb2e2-0b1c-4606-9014-8fa1c6ab3a78', 'SUCCESS', NULL, '2018-04-17 09:18:21', NULL, 0, 'eJxrYKotZIzgYGBgSM7IzEkpSs0rZIotZC7WAwBWuwcA'); args=['84dbb2e2-0b1c-4606-9014-8fa1c6ab3a78', 'SUCCESS', None, u'2018-04-17 09:18:21', None, False, u'eJxrYKotZIzgYGBgSM7IzEkpSs0rZIotZC7WAwBWuwcA']
[2018-04-17 17:18:57,474: DEBUG/Worker-1] (0.000) SELECT `celery_taskmeta`.`id`, `celery_taskmeta`.`task_id`, `celery_taskmeta`.`status`, `celery_taskmeta`.`result`, `celery_taskmeta`.`date_done`, `celery_taskmeta`.`traceback`, `celery_taskmeta`.`hidden`, `celery_taskmeta`.`meta` FROM `celery_taskmeta` WHERE `celery_taskmeta`.`task_id` = '72ac5eba-17d2-4b8b-970f-2c9f12012ef1'; args=('72ac5eba-17d2-4b8b-970f-2c9f12012ef1',)
[2018-04-17 17:18:57,476: DEBUG/Worker-1] (0.000) INSERT INTO `celery_taskmeta` (`task_id`, `status`, `result`, `date_done`, `traceback`, `hidden`, `meta`) VALUES ('72ac5eba-17d2-4b8b-970f-2c9f12012ef1', 'SUCCESS', NULL, '2018-04-17 09:18:57', NULL, 0, 'eJxrYKotZIzgYGBgSM7IzEkpSs0rZIotZC7WAwBWuwcA'); args=['72ac5eba-17d2-4b8b-970f-2c9f12012ef1', 'SUCCESS', None, u'2018-04-17 09:18:57', None, False, u'eJxrYKotZIzgYGBgSM7IzEkpSs0rZIotZC7WAwBWuwcA']
[2018-04-18 04:00:00,115: DEBUG/Worker-2] (0.005) UPDATE `celery_taskmeta` SET `hidden` = 1 WHERE `celery_taskmeta`.`date_done` < '2018-04-16 20:00:00'; args=(True, u'2018-04-16 20:00:00')
[2018-04-18 04:00:00,119: DEBUG/Worker-2] (0.001) DELETE FROM celery_taskmeta WHERE hidden=1; args=(True,)
[2018-04-18 04:00:00,123: DEBUG/Worker-2] (0.001) UPDATE `celery_tasksetmeta` SET `hidden` = 1 WHERE `celery_tasksetmeta`.`date_done` < '2018-04-16 20:00:00'; args=(True, u'2018-04-16 20:00:00')
[2018-04-18 04:00:00,124: DEBUG/Worker-2] (0.000) DELETE FROM celery_tasksetmeta WHERE hidden=1; args=(True,)
[2018-04-18 04:00:00,127: DEBUG/Worker-2] (0.001) SELECT `celery_taskmeta`.`id`, `celery_taskmeta`.`task_id`, `celery_taskmeta`.`status`, `celery_taskmeta`.`result`, `celery_taskmeta`.`date_done`, `celery_taskmeta`.`traceback`, `celery_taskmeta`.`hidden`, `celery_taskmeta`.`meta` FROM `celery_taskmeta` WHERE `celery_taskmeta`.`task_id` = 'd3451595-9e4f-498e-ac0b-6e1f974cd64e'; args=('d3451595-9e4f-498e-ac0b-6e1f974cd64e',)
[2018-04-18 04:00:00,135: DEBUG/Worker-2] (0.003) INSERT INTO `celery_taskmeta` (`task_id`, `status`, `result`, `date_done`, `traceback`, `hidden`, `meta`) VALUES ('d3451595-9e4f-498e-ac0b-6e1f974cd64e', 'SUCCESS', NULL, '2018-04-17 20:00:00', NULL, 0, 'eJxrYKotZIzgYGBgSM7IzEkpSs0rZIotZC7WAwBWuwcA'); args=['d3451595-9e4f-498e-ac0b-6e1f974cd64e', 'SUCCESS', None, u'2018-04-17 20:00:00', None, False, u'eJxrYKotZIzgYGBgSM7IzEkpSs0rZIotZC7WAwBWuwcA']
[2018-04-19 04:00:00,072: DEBUG/Worker-2] (0.003) UPDATE `celery_taskmeta` SET `hidden` = 1 WHERE `celery_taskmeta`.`date_done` < '2018-04-17 20:00:00'; args=(True, u'2018-04-17 20:00:00')
